腌膜技术数量,光刻技术数量,技术互补性,技术相似性,光刻技术前三年专利申请量,光刻技术知识广度,腌膜技术知识广度,光刻技术知识深度,腌膜技术知识深度,年份
,91.0,0.0,0.0,0,0,,6.5,,1993
,,,,91,14,,6.5,,1994
,,,,91,14,,6.5,,1995
,2.0,0.0,0.0,0,14,,6.642857142857143,,1996
8.0,25.0,-66.66666666666666,72.72727272727272,2,15,0.0,8.428571428571429,8.0,1997
5.0,7.0,-0.7619047619047616,2.095238095238095,27,16,1.0,17.0,6.5,1998
,5.0,0.0,0.0,32,4,3.0,19.5,6.5,1999
,3.0,0.0,0.0,12,5,3.0,21.0,6.5,2000
3.0,2.0,0.4,0.4,8,7,3.0,21.0,8.0,2001
1.0,5.0,0.09999999999999998,0.4,5,7,5.0,7.333333333333333,4.5,2002
10.0,13.0,-9.933110367892978,13.846153846153847,7,8,5.0,5.6,4.666666666666667,2003
21.0,29.0,-43.41379310344828,48.713793103448275,18,9,5.0,6.5,5.833333333333333,2004
27.0,71.0,-18.994538660534634,21.64759988502443,42,13,10.0,5.217391304347826,5.636363636363637,2005
11.0,42.0,-11.935759209344114,13.426325247079964,100,31,19.0,6.4,5.833333333333333,2006
25.0,138.0,-201.724015292967,209.46634658131057,113,38,23.0,10.851851851851851,7.230769230769231,2007
40.0,159.0,-191.38652381403875,197.8488353718277,180,47,26.0,12.542857142857143,7.294117647058823,2008
40.0,130.0,-237.37108597285072,248.19461538461542,297,63,37.0,13.5,8.9375,2009
59.0,88.0,-153.13481756338896,165.0803957946815,289,74,37.0,16.87878787878788,11.666666666666666,2010
41.0,108.0,-213.42356450410142,223.94705443698732,218,66,34.0,19.46875,12.8125,2011
66.0,114.0,-219.29444444444445,231.36666666666667,196,66,34.0,17.61764705882353,14.470588235294118,2012
193.0,312.0,-1670.0430756537191,1706.3064419903528,222,67,40.0,18.341463414634145,15.96,2013
270.0,364.0,-3258.1894217769614,3309.8597687801157,426,76,49.0,24.048780487804876,17.47222222222222,2014
387.0,518.0,-10142.290590669598,10230.586723266282,676,82,68.0,27.764705882352942,22.785714285714285,2015
295.0,437.0,-5555.344624926536,5619.470307986646,882,101,82.0,28.60655737704918,24.714285714285715,2016
291.0,464.0,-7250.027203699475,7324.386144096826,955,121,96.0,33.79032258064516,28.15686274509804,2017
260.0,485.0,-6818.65179824258,6886.2182411956,901,131,102.0,39.10344827586207,31.97872340425532,2018
323.0,553.0,-8360.424304540615,8440.203984905911,949,122,93.0,40.278688524590166,37.04761904761905,2019
443.0,621.0,-7411.015782209145,7492.809015291852,1038,126,82.0,42.666666666666664,42.421052631578945,2020
260.0,454.0,-4463.039712360715,4521.312821604412,1174,131,83.0,41.564516129032256,47.78787878787879,2021
180.0,474.0,-2954.205344585091,2997.7894424444185,1075,129,79.0,36.436619718309856,40.72222222222222,2022
44.0,124.0,-209.72619047619048,220.23809523809524,928,143,83.0,33.223880597014926,35.714285714285715,2023
