腌膜技术数量,光刻技术数量,技术互补性,技术相似性,光刻技术前三年专利申请量,光刻技术知识广度,腌膜技术知识广度,光刻技术知识深度,腌膜技术知识深度,年份
,3.0,0.0,0.0,0,0,,3.0,,1974
,,,,3,1,,3.0,,1975
,6.0,0.0,0.0,3,1,,2.25,,1976
,,,,6,5,,2.25,,1977
6.0,2.0,0.375,0.0,6,5,0.0,1.8333333333333333,2.0,1978
3.0,28.0,-1.7523041474654377,2.6232718894009217,2,7,3.0,3.272727272727273,3.0,1979
,11.0,0.0,0.0,30,15,4.0,3.6153846153846154,3.0,1980
,14.0,0.0,0.0,39,20,4.0,4.230769230769231,3.0,1981
9.0,23.0,-12.38858695652174,15.70108695652174,25,19,4.0,4.588235294117647,3.6,1982
3.0,26.0,-1.4827586206896552,1.896551724137931,37,26,7.0,5.1,3.75,1983
16.0,52.0,-11.525169683257918,14.481052036199095,49,31,6.0,5.25,4.0,1984
72.0,95.0,-102.7003466750709,111.04765206429246,78,37,9.0,7.0,6.25,1985
84.0,113.0,-288.7494721710615,303.7596244553254,147,51,22.0,9.96774193548387,8.761904761904763,1986
126.0,174.0,-495.55697318007657,513.1369731800766,208,60,32.0,12.432432432432432,10.75,1987
95.0,195.0,-375.7536339522547,390.9260477453581,287,75,47.0,13.673913043478262,12.67741935483871,1988
165.0,185.0,-296.42540540540546,311.32540540540543,369,94,57.0,15.24,13.897435897435898,1989
147.0,242.0,-1004.7541481654592,1033.281140453377,380,105,76.0,16.833333333333332,17.13888888888889,1990
172.0,380.0,-839.7060545385202,864.1444603356217,427,119,79.0,13.83529411764706,17.195121951219512,1991
202.0,274.0,-1483.496576645112,1519.5321414986686,622,163,85.0,14.848837209302326,19.55,1992
159.0,224.0,-553.4216360499814,574.0743775643417,655,171,81.0,14.674157303370787,18.391304347826086,1993
101.0,327.0,-766.9262482494499,786.2533510531882,499,178,92.0,15.404255319148936,17.772727272727273,1994
152.0,409.0,-2132.1741999311394,2165.9620787190183,551,192,84.0,16.822916666666668,17.886363636363637,1995
202.0,351.0,-2278.329567291593,2317.9208873639254,736,201,84.0,19.580246913580247,19.926829268292682,1996
209.0,458.0,-4188.81480002357,4235.76832326195,760,186,82.0,20.333333333333332,19.13953488372093,1997
263.0,664.0,-5587.567582628248,5640.216989316489,809,197,89.0,24.544444444444444,21.068181818181817,1998
254.0,742.0,-4746.941388194287,4793.036769720392,1122,209,90.0,27.333333333333332,24.545454545454547,1999
305.0,721.0,-4500.09855680193,4546.530330681072,1406,227,95.0,29.656565656565657,25.6875,2000
236.0,730.0,-2359.0180464562245,2388.9548994582947,1463,241,105.0,32.18446601941748,24.84313725490196,2001
441.0,1364.0,-7888.215083549281,7944.671593244572,1451,261,115.0,34.59836065573771,23.421875,2002
343.0,979.0,-5403.787842730626,5456.114620340309,2094,307,138.0,34.62595419847328,23.220588235294116,2003
417.0,1363.0,-10710.301145440906,10778.55788701394,2343,347,144.0,38.2,24.194444444444443,2004
561.0,1267.0,-14359.956397372105,14445.410992558101,2342,362,156.0,41.02877697841727,28.956521739130434,2005
431.0,994.0,-7169.362808429524,7229.941755797945,2630,378,163.0,41.4375,29.635135135135137,2006
418.0,1097.0,-9008.404282306079,9074.890750952944,2261,392,175.0,40.42553191489362,33.38461538461539,2007
605.0,1486.0,-15975.566700330135,16061.309885409044,2091,374,165.0,45.977777777777774,35.2463768115942,2008
484.0,1140.0,-9854.926155907007,9931.931082015382,2583,357,167.0,46.3875968992248,35.7,2009
502.0,1241.0,-8819.072619706407,8891.04909704433,2626,346,160.0,48.04838709677419,35.36231884057971,2010
734.0,1320.0,-12585.22581990794,12677.045196733647,2381,329,158.0,51.50819672131148,37.57534246575342,2011
548.0,1062.0,-13757.991166906459,13850.976881192173,2561,313,167.0,53.41025641025641,39.35616438356164,2012
646.0,1431.0,-15735.084643732038,15829.469333187984,2382,294,167.0,54.8141592920354,39.37837837837838,2013
459.0,877.0,-7045.422922968203,7117.528461890359,2493,282,171.0,53.432432432432435,38.01315789473684,2014
456.0,998.0,-7041.088149476394,7102.461602021099,2308,269,177.0,52.18348623853211,35.5375,2015
509.0,1115.0,-8977.406718725839,9054.609304932736,1875,271,180.0,53.754901960784316,38.5,2016
436.0,789.0,-5733.829251183363,5795.903536897649,2113,265,163.0,54.270833333333336,41.766666666666666,2017
168.0,549.0,-1560.9645151702218,1586.5307634268468,1904,260,146.0,47.56043956043956,36.214285714285715,2018
158.0,462.0,-1213.2516443234185,1236.730676581483,1338,245,127.0,43.0,30.839285714285715,2019
395.0,409.0,-1226.7047738082206,1258.4075101266285,1011,240,121.0,38.206896551724135,29.228070175438596,2020
124.0,434.0,-911.2045405744677,929.190203656905,871,227,114.0,29.696629213483146,22.875,2021
116.0,377.0,-662.9531155002933,682.5190384211858,843,211,105.0,25.64367816091954,17.796296296296298,2022
18.0,92.0,-41.60247035573123,45.86610671936759,811,201,102.0,22.175,16.22,2023
