腌膜技术数量,光刻技术数量,技术互补性,技术相似性,光刻技术前三年专利申请量,光刻技术知识广度,腌膜技术知识广度,光刻技术知识深度,腌膜技术知识深度,年份
,1.0,0.0,0.0,0,0,,1.0,,1970
,,,,1,1,,1.0,,1971
,,,,1,1,,1.0,,1972
,,,,0,1,,1.0,,1973
,44.0,0.0,0.0,0,1,,7.5,,1974
,7.0,0.0,0.0,44,7,,8.5,,1975
6.0,6.0,-0.27777777777777746,1.4444444444444442,51,11,0.0,7.125,2.0,1976
7.0,1.0,0.25,0.0,13,14,3.0,6.444444444444445,3.25,1977
7.0,6.0,0.5,0.1923076923076923,7,15,7.0,5.333333333333333,2.857142857142857,1978
20.0,20.0,-7.6125,11.0625,7,20,12.0,2.857142857142857,4.0,1979
5.0,5.0,-2.5,5.0,26,21,19.0,3.8,4.5,1980
7.0,25.0,-2.9750000000000005,4.1937500000000005,25,17,20.0,3.5625,4.181818181818182,1981
10.0,10.0,0.09999999999999998,0.9,30,22,20.0,3.6666666666666665,3.769230769230769,1982
34.0,65.0,-14.684693084693084,17.452369852369852,35,27,22.0,4.62962962962963,4.470588235294118,1983
23.0,46.0,-6.107435412728419,8.295841209829868,75,42,30.0,5.206896551724138,4.157894736842105,1984
28.0,36.0,-26.934461805555554,31.340711805555554,111,48,32.0,5.6875,4.857142857142857,1985
19.0,56.0,-12.707857142857142,14.681190476190475,82,55,37.0,6.65625,4.56,1986
10.0,10.0,-3.240000000000001,5.940000000000001,92,59,43.0,6.65625,4.222222222222222,1987
16.0,35.0,-15.173109243697478,19.17310924369748,66,56,40.0,6.777777777777778,4.8,1988
32.0,50.0,-67.06731707317074,72.43317073170732,45,45,29.0,8.904761904761905,7.5,1989
32.0,49.0,-37.09145880574452,42.313681027966744,85,39,28.0,10.0,8.384615384615385,1990
78.0,77.0,-24.339840804356935,28.675324675324678,99,39,26.0,10.045454545454545,9.882352941176471,1991
44.0,54.0,-17.14134542705971,21.018896447467874,126,46,31.0,9.814814814814815,11.222222222222221,1992
40.0,99.0,-91.99869195552648,98.66056245912361,131,54,33.0,10.966666666666667,11.3,1993
66.0,115.0,-99.0255104491953,107.10285851549364,153,60,37.0,9.380952380952381,11.818181818181818,1994
51.0,73.0,-53.13532920901459,58.724038886433945,214,76,36.0,8.893617021276595,12.130434782608695,1995
101.0,87.0,-211.56548055759356,227.82079970652973,188,86,41.0,9.953488372093023,17.764705882352942,1996
27.0,107.0,-61.80059980471473,67.3901520435207,160,82,34.0,10.23404255319149,17.8125,1997
105.0,183.0,-262.4514458105646,276.32991803278685,194,89,32.0,10.660377358490566,20.58823529411765,1998
131.0,276.0,-320.1629099455186,330.3275291101378,290,103,33.0,13.2,19.761904761904763,1999
37.0,216.0,-80.1897233201581,83.4782608695652,459,108,42.0,14.728813559322035,18.227272727272727,2000
97.0,424.0,-462.63578749139896,469.87379133017055,492,116,40.0,14.707317073170731,15.26923076923077,2001
227.0,739.0,-3304.6905490324625,3326.3002798813236,640,150,47.0,18.948453608247423,14.925,2002
202.0,622.0,-1098.668195688821,1108.8781471451316,1163,185,71.0,21.2803738317757,12.618181818181819,2003
271.0,448.0,-562.0237495032784,577.3881444963243,1361,214,96.0,21.866071428571427,14.892857142857142,2004
262.0,612.0,-1069.5992282496522,1094.6060932382106,1070,237,110.0,22.401574803149607,17.360655737704917,2005
318.0,593.0,-1826.222554389576,1860.1116872106518,1060,290,127.0,22.833333333333332,20.0,2006
86.0,551.0,-365.88298427007265,374.6412260283144,1205,309,141.0,20.62773722627737,18.370967741935484,2007
188.0,447.0,-821.9401891877609,845.9669608413042,1144,317,129.0,19.49264705882353,19.736842105263158,2008
192.0,605.0,-1425.8859794477223,1455.914837666041,998,318,120.0,20.347826086956523,18.03448275862069,2009
123.0,425.0,-412.3456204379562,427.63029197080294,1052,332,117.0,20.4765625,17.442307692307693,2010
172.0,472.0,-1240.5549794715232,1272.6947310243183,1030,315,105.0,19.68503937007874,16.543478260869566,2011
107.0,296.0,-230.81069344779027,243.3690061028771,897,309,90.0,19.02542372881356,17.0,2012
129.0,467.0,-995.1678103847204,1019.8355956196198,768,292,92.0,19.86842105263158,18.53846153846154,2013
203.0,477.0,-1114.715522875817,1143.9052287581699,763,282,79.0,19.25225225225225,20.97142857142857,2014
360.0,594.0,-9146.746924168308,9238.967049954472,944,265,71.0,23.53061224489796,25.55263157894737,2015
309.0,556.0,-6721.0387283237,6793.128901734104,1071,243,75.0,26.263736263736263,27.024390243902438,2016
276.0,570.0,-5695.8585168595255,5759.070100783875,1150,223,78.0,31.714285714285715,31.146341463414632,2017
308.0,681.0,-8424.17876672769,8504.191911318185,1126,216,78.0,35.09756097560975,34.666666666666664,2018
214.0,495.0,-2994.1223632659458,3036.065945776524,1251,206,82.0,37.12820512820513,34.92857142857143,2019
270.0,463.0,-3858.365661988514,3913.6971763132074,1176,197,83.0,33.71951219512195,29.29787234042553,2020
177.0,239.0,-529.7394391696171,550.3596314773093,958,196,88.0,33.534246575342465,29.642857142857142,2021
136.0,239.0,-352.8141032078103,369.4914365411436,702,181,83.0,27.141025641025642,28.333333333333332,2022
6.0,37.0,-2.8227529855436835,3.72972972972973,478,179,80.0,21.347826086956523,22.305555555555557,2023
