腌膜技术数量,光刻技术数量,技术互补性,技术相似性,光刻技术前三年专利申请量,光刻技术知识广度,腌膜技术知识广度,光刻技术知识深度,腌膜技术知识深度,年份
8.0,8.0,0.3125,0.9375,0,0,0,1.6,1.6,1993
,,,,8,5,5,1.6,1.6,1994
,4.0,0.0,0.0,8,5,5,2.4,1.6,1995
,,,,4,8,5,2.4,1.6,1996
7.0,16.0,-5.991847826086957,8.730978260869566,4,8,5,4.666666666666667,3.0,1997
17.0,40.0,-14.576754385964913,17.875,16,11,6,5.0,3.4285714285714284,1998
17.0,23.0,-2.128260869565217,3.253260869565217,56,18,8,5.1875,3.4166666666666665,1999
40.0,28.0,-4.09873949579832,6.407563025210084,63,25,16,5.631578947368421,4.5,2000
35.0,46.0,-42.412238325281805,46.696188942565755,51,30,26,6.954545454545454,5.523809523809524,2001
118.0,204.0,-211.0207648276702,219.99902569723542,74,37,33,8.525,7.32258064516129,2002
144.0,388.0,-859.1634853887296,877.530026742113,250,67,54,14.354166666666666,9.833333333333334,2003
124.0,272.0,-459.6221776589424,472.62470291146764,592,85,65,14.88888888888889,10.976190476190476,2004
117.0,438.0,-683.6005923731951,696.0852770578798,660,113,80,18.465753424657535,11.446808510638299,2005
146.0,417.0,-946.2877229300041,964.0408312781391,710,139,91,21.22222222222222,12.48076923076923,2006
231.0,326.0,-1101.2229461069928,1125.4401812955027,855,171,102,23.303797468354432,15.24,2007
155.0,303.0,-688.5371179039302,704.7772925764192,743,165,104,22.805194805194805,15.775510204081632,2008
137.0,301.0,-502.4325156631624,516.9850270786875,629,164,102,24.12162162162162,16.72340425531915,2009
171.0,297.0,-833.8826009381565,853.9424299979856,604,162,98,23.154929577464788,19.53488372093023,2010
178.0,153.0,-162.143652627214,173.58474024050707,598,159,95,20.294117647058822,20.27906976744186,2011
186.0,196.0,-189.5584464152153,201.23383908537235,450,147,97,17.123287671232877,19.232558139534884,2012
153.0,168.0,-179.83995327102804,190.40693146417445,349,148,97,16.893939393939394,17.5531914893617,2013
169.0,157.0,-203.5263569223555,217.16439373217145,364,138,104,16.183333333333334,18.630434782608695,2014
100.0,101.0,-91.21516181468893,98.66292300871878,325,125,105,13.839285714285714,15.72,2015
124.0,162.0,-256.1726884226884,269.6691919191919,258,113,111,14.0,16.266666666666666,2016
55.0,130.0,-105.06885654885656,112.8093970893971,263,108,102,13.807692307692308,15.41025641025641,2017
117.0,232.0,-250.42424167572372,260.06607548661196,292,101,89,13.482758620689655,15.694444444444445,2018
162.0,235.0,-374.56171284634763,391.2997481108313,362,111,82,13.4375,16.90909090909091,2019
181.0,218.0,-408.98232967740455,427.23044997815646,467,122,77,15.507936507936508,22.821428571428573,2020
141.0,313.0,-679.7865054679033,698.8966376264937,453,128,74,19.11864406779661,19.87878787878788,2021
153.0,258.0,-412.9529602595296,427.70965125709654,531,133,81,19.625,20.37837837837838,2022
33.0,64.0,-37.30154639175258,43.631443298969074,571,140,91,18.440677966101696,18.61111111111111,2023
